,date,iso_code,new_cases,new_deaths,new_tests,total_cases,total_deaths
43079,2020-03-03,JOR,1.0,0.0,0.0,1.0,0.0
43080,2020-03-04,JOR,0.0,0.0,0.0,1.0,0.0
43081,2020-03-05,JOR,0.0,0.0,0.0,1.0,0.0
43082,2020-03-06,JOR,0.0,0.0,0.0,1.0,0.0
43083,2020-03-07,JOR,0.0,0.0,0.0,1.0,0.0
43084,2020-03-08,JOR,0.0,0.0,0.0,1.0,0.0
43085,2020-03-09,JOR,0.0,0.0,0.0,1.0,0.0
43086,2020-03-10,JOR,0.0,0.0,0.0,1.0,0.0
43087,2020-03-11,JOR,0.0,0.0,0.0,1.0,0.0
43088,2020-03-12,JOR,0.0,0.0,0.0,1.0,0.0
43089,2020-03-13,JOR,0.0,0.0,0.0,1.0,0.0
43090,2020-03-14,JOR,0.0,0.0,0.0,1.0,0.0
43091,2020-03-15,JOR,7.0,0.0,0.0,8.0,0.0
43092,2020-03-16,JOR,9.0,0.0,0.0,17.0,0.0
43093,2020-03-17,JOR,17.0,0.0,0.0,34.0,0.0
43094,2020-03-18,JOR,18.0,0.0,0.0,52.0,0.0
43095,2020-03-19,JOR,17.0,0.0,0.0,69.0,0.0
43096,2020-03-20,JOR,16.0,0.0,0.0,85.0,0.0
43097,2020-03-21,JOR,0.0,0.0,0.0,85.0,0.0
43098,2020-03-22,JOR,27.0,0.0,0.0,112.0,0.0
43099,2020-03-23,JOR,15.0,0.0,0.0,127.0,0.0
43100,2020-03-24,JOR,27.0,0.0,0.0,154.0,0.0
43101,2020-03-25,JOR,18.0,0.0,0.0,172.0,0.0
43102,2020-03-26,JOR,40.0,0.0,0.0,212.0,0.0
43103,2020-03-27,JOR,23.0,1.0,0.0,235.0,1.0
43104,2020-03-28,JOR,11.0,0.0,0.0,246.0,1.0
43105,2020-03-29,JOR,13.0,2.0,0.0,259.0,3.0
43106,2020-03-30,JOR,9.0,2.0,0.0,268.0,5.0
43107,2020-03-31,JOR,6.0,0.0,0.0,274.0,5.0
43108,2020-04-01,JOR,4.0,0.0,0.0,278.0,5.0
