,Unnamed: 0,Unnamed: 0_x,date,iso_code_x,new_deaths,new_tests,total_deaths,Unnamed: 0_y,Unnamed: 0.1,location,total_vaccinations,people_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,month,month_number,total_cases,people_fully_vaccinated,new_cases
0,0,43394,2021-01-12,JOR,33.0,24238.0,4076.0,10678,10678,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,January,1,1.8969229159854581,0.0,0.43738694098129755
1,1,43395,2021-01-13,JOR,15.0,26934.0,4091.0,10679,10679,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9037919654866158,0.0,0.4173028467525645
2,2,43396,2021-01-14,JOR,16.0,25014.0,4107.0,10680,10680,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9103732740550154,0.0,0.3998222462201487
3,3,43397,2021-01-15,JOR,14.0,19541.0,4121.0,10681,10681,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9153199692394498,0.0,0.30051755808919084
4,4,43398,2021-01-16,JOR,16.0,17738.0,4137.0,10682,10682,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9196422053783244,0.0,0.2625809356571395
5,5,43399,2021-01-17,JOR,8.0,19623.0,4145.0,10683,10683,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9255011005410765,0.0,0.355934781053658
6,6,43400,2021-01-18,JOR,8.0,22271.0,4153.0,10684,10684,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9318069124717292,0.0,0.38308550102953787
7,7,43401,2021-01-19,JOR,17.0,21930.0,4170.0,10685,10685,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9372127687190752,0.0,0.32841213340687564
8,8,43402,2021-01-20,JOR,17.0,23315.0,4187.0,10686,10686,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9432002289794426,0.0,0.3637452621426097
9,9,43403,2021-01-21,JOR,11.0,20409.0,4198.0,10687,10687,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9479510154437012,0.0,0.288615872620312
10,10,43404,2021-01-22,JOR,9.0,18372.0,4207.0,10688,10688,Jordan,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0,January,1,1.9524201831227075,0.0,0.27150719975879867
11,11,43405,2021-01-23,JOR,10.0,13019.0,4217.0,10689,10689,Jordan,30000.0,30000.0,0.0,2727.0,0.29,0.29,0.0,267.0,January,1,1.9561424488060444,0.0,0.22613202390869808
12,12,43406,2021-01-24,JOR,7.0,19808.0,4224.0,10690,10690,Jordan,0.0,0.0,0.0,2516.0,0.0,0.0,0.0,247.0,January,1,1.9618605345761702,0.0,0.3473804446229013
