,Unnamed: 0_x,date,iso_code_x,new_cases,new_deaths,new_tests,total_cases,total_deaths,Unnamed: 0_y,Unnamed: 0.1,location,iso_code_y,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
0,43394,2021-01-12,JOR,1176.0,33.0,24238.0,309846.0,4076.0,10678,10678,Jordan,JOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,43395,2021-01-13,JOR,1122.0,15.0,26934.0,310968.0,4091.0,10679,10679,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
2,43396,2021-01-14,JOR,1075.0,16.0,25014.0,312043.0,4107.0,10680,10680,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
3,43397,2021-01-15,JOR,808.0,14.0,19541.0,312851.0,4121.0,10681,10681,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
4,43398,2021-01-16,JOR,706.0,16.0,17738.0,313557.0,4137.0,10682,10682,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
5,43399,2021-01-17,JOR,957.0,8.0,19623.0,314514.0,4145.0,10683,10683,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
6,43400,2021-01-18,JOR,1030.0,8.0,22271.0,315544.0,4153.0,10684,10684,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
7,43401,2021-01-19,JOR,883.0,17.0,21930.0,316427.0,4170.0,10685,10685,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
8,43402,2021-01-20,JOR,978.0,17.0,23315.0,317405.0,4187.0,10686,10686,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
9,43403,2021-01-21,JOR,776.0,11.0,20409.0,318181.0,4198.0,10687,10687,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
10,43404,2021-01-22,JOR,730.0,9.0,18372.0,318911.0,4207.0,10688,10688,Jordan,JOR,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,267.0
11,43405,2021-01-23,JOR,608.0,10.0,13019.0,319519.0,4217.0,10689,10689,Jordan,JOR,30000.0,30000.0,0.0,0.0,2727.0,0.29,0.29,0.0,267.0
12,43406,2021-01-24,JOR,934.0,7.0,19808.0,320453.0,4224.0,10690,10690,Jordan,JOR,0.0,0.0,0.0,0.0,2516.0,0.0,0.0,0.0,247.0
13,43407,2021-01-25,JOR,845.0,15.0,23980.0,321298.0,4239.0,10691,10691,Jordan,JOR,0.0,0.0,0.0,0.0,2305.0,0.0,0.0,0.0,226.0
14,43408,2021-01-26,JOR,943.0,9.0,24332.0,322241.0,4248.0,10692,10692,Jordan,JOR,0.0,0.0,0.0,0.0,2094.0,0.0,0.0,0.0,205.0
15,43409,2021-01-27,JOR,870.0,14.0,24763.0,323111.0,4262.0,10693,10693,Jordan,JOR,0.0,0.0,0.0,0.0,1883.0,0.0,0.0,0.0,185.0
16,43410,2021-01-28,JOR,1058.0,7.0,22716.0,324169.0,4269.0,10694,10694,Jordan,JOR,0.0,0.0,0.0,0.0,1672.0,0.0,0.0,0.0,164.0
17,43411,2021-01-29,JOR,864.0,12.0,22359.0,325033.0,4281.0,10695,10695,Jordan,JOR,0.0,0.0,0.0,0.0,1461.0,0.0,0.0,0.0,143.0
18,43412,2021-01-30,JOR,641.0,23.0,15605.0,325674.0,4304.0,10696,10696,Jordan,JOR,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,123.0
19,43413,2021-01-31,JOR,1181.0,12.0,21270.0,326855.0,4316.0,10697,10697,Jordan,JOR,40000.0,40000.0,0.0,0.0,1250.0,0.39,0.39,0.0,123.0
20,43414,2021-02-01,JOR,1207.0,10.0,24002.0,328062.0,4326.0,10698,10698,Jordan,JOR,0.0,0.0,0.0,0.0,1331.0,0.0,0.0,0.0,130.0
21,43415,2021-02-02,JOR,1132.0,8.0,23585.0,329194.0,4334.0,10699,10699,Jordan,JOR,0.0,0.0,0.0,0.0,1412.0,0.0,0.0,0.0,138.0
22,43416,2021-02-03,JOR,1280.0,10.0,22315.0,330474.0,4344.0,10700,10700,Jordan,JOR,0.0,0.0,0.0,0.0,1494.0,0.0,0.0,0.0,146.0
23,43417,2021-02-04,JOR,1294.0,10.0,26830.0,331768.0,4354.0,10701,10701,Jordan,JOR,0.0,0.0,0.0,0.0,1575.0,0.0,0.0,0.0,154.0
24,43418,2021-02-05,JOR,1222.0,8.0,21311.0,332990.0,4362.0,10702,10702,Jordan,JOR,0.0,0.0,0.0,0.0,1656.0,0.0,0.0,0.0,162.0
25,43419,2021-02-06,JOR,865.0,7.0,20703.0,333855.0,4369.0,10703,10703,Jordan,JOR,0.0,0.0,0.0,0.0,1737.0,0.0,0.0,0.0,170.0
26,43420,2021-02-07,JOR,1299.0,10.0,21142.0,335154.0,4379.0,10704,10704,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
27,43421,2021-02-08,JOR,1685.0,6.0,26723.0,336839.0,4385.0,10705,10705,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
28,43422,2021-02-09,JOR,1483.0,10.0,24854.0,338322.0,4395.0,10706,10706,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
29,43423,2021-02-10,JOR,1855.0,16.0,29541.0,340177.0,4411.0,10707,10707,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
30,43424,2021-02-11,JOR,1807.0,10.0,27660.0,341984.0,4421.0,10708,10708,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
31,43425,2021-02-12,JOR,1579.0,12.0,24501.0,343563.0,4433.0,10709,10709,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
32,43426,2021-02-13,JOR,1240.0,11.0,19571.0,344803.0,4444.0,10710,10710,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
33,43427,2021-02-14,JOR,2447.0,11.0,26313.0,347250.0,4455.0,10711,10711,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
34,43428,2021-02-15,JOR,2312.0,18.0,29225.0,349562.0,4473.0,10712,10712,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
35,43429,2021-02-16,JOR,2657.0,18.0,32347.0,352219.0,4491.0,10713,10713,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
36,43430,2021-02-17,JOR,2887.0,12.0,32850.0,355106.0,4503.0,10714,10714,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
37,43431,2021-02-18,JOR,1638.0,9.0,16133.0,356744.0,4512.0,10715,10715,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
38,43432,2021-02-19,JOR,867.0,16.0,12421.0,357611.0,4528.0,10716,10716,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
39,43433,2021-02-20,JOR,2200.0,15.0,18204.0,359811.0,4543.0,10717,10717,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
40,43434,2021-02-21,JOR,3917.0,11.0,25108.0,363728.0,4554.0,10718,10718,Jordan,JOR,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,178.0
41,43435,2021-02-22,JOR,4550.0,16.0,33846.0,368278.0,4570.0,10719,10719,Jordan,JOR,80000.0,50000.0,30000.0,0.0,1818.0,0.78,0.49,0.29,178.0
42,43436,2021-02-23,JOR,4139.0,19.0,34840.0,372417.0,4589.0,10720,10720,Jordan,JOR,0.0,0.0,0.0,0.0,4892.0,0.0,0.0,0.0,479.0
43,43437,2021-02-24,JOR,4024.0,22.0,36073.0,376441.0,4611.0,10721,10721,Jordan,JOR,0.0,0.0,0.0,0.0,7965.0,0.0,0.0,0.0,781.0
44,43438,2021-02-25,JOR,3827.0,16.0,33719.0,380268.0,4627.0,10722,10722,Jordan,JOR,150000.0,0.0,0.0,0.0,11039.0,1.47,0.0,0.0,1082.0
45,43439,2021-02-26,JOR,3644.0,23.0,30283.0,383912.0,4650.0,10723,10723,Jordan,JOR,0.0,0.0,0.0,0.0,11209.0,0.0,0.0,0.0,1099.0
46,43440,2021-02-27,JOR,2584.0,25.0,26452.0,386496.0,4675.0,10724,10724,Jordan,JOR,0.0,0.0,0.0,0.0,11379.0,0.0,0.0,0.0,1115.0
47,43441,2021-02-28,JOR,4594.0,26.0,33462.0,391090.0,4701.0,10725,10725,Jordan,JOR,0.0,0.0,0.0,0.0,11549.0,0.0,0.0,0.0,1132.0
48,43442,2021-03-01,JOR,6068.0,26.0,41029.0,397158.0,4727.0,10726,10726,Jordan,JOR,0.0,0.0,0.0,0.0,11719.0,0.0,0.0,0.0,1149.0
49,43443,2021-03-02,JOR,5124.0,29.0,37651.0,402282.0,4756.0,10727,10727,Jordan,JOR,0.0,0.0,0.0,0.0,8816.0,0.0,0.0,0.0,864.0
